"Line Code","Direction","Stop Code","Stop ID","Chinese Name","English Name","Sequence"
"610","2","MIK","200","鳴琴","Ming Kum",19.00
"610","2","TWN","050","青雲","Tsing Wun",20.00
"610","2","TSS","040","青山村","Tsing Shan Tsuen",21.00
"610","2","LUM","030","龍門","Lung Mun",22.00
"610","2","LRD","020","輕鐵車廠","Light Rail Depot",23.00
"610","2","BUT","015","蝴蝶","Butterfly",24.00
"610","2","MEG","010","美樂","Melody Garden",25.00
"610","2","FEP","001","屯門碼頭","Tuen Mun Ferry Pier",26.00
"614","1","FEP","001","屯門碼頭","Tuen Mun Ferry Pier",1.00
"614","1","SHE","240","兆禧","Siu Hei",2.00
"614","1","TSP","250","屯門泳池","Tuen Mun Swimming Pool",3.00
"614","1","GOG","260","豐景園","Goodview Garden",4.00
"614","1","SIL","265","兆麟","Siu Lun",5.00
"614","1","ONT","270","安定","On Ting",6.00
"614","1","TOC","280","市中心","Town Centre",7.00
"614","1","PUT","300","杯渡","Pui To",8.00
"614","1","HFT","310","何福堂","Hoh Fuk Tong",9.00
"614","1","SAH","320","新墟","San Hui",10.00
"614","1","PRV","330","景峰","Prime View",11.00
"614","1","FUT","340","鳳地","Fung Tei",12.00
"614","1","SHL","100","兆康","Siu Hong",13.00
"614","1","LTE","350","藍地","Lam Tei",14.00
"614","1","NAW","360","泥圍","Nai Wai",15.00
"614","1","CUT","370","鍾屋村","Chung Uk Tsuen",16.00
"614","1","HSK","380","洪水橋","Hung Shui Kiu",17.00
"614","1","TOF","390","塘坊村","Tong Fong Tsuen",18.00
"614","1","PIS","400","屏山","Ping Shan",19.00
"614","1","SPW","560","水邊圍","Shui Pin Wai",20.00
"614","1","FNR","570","豐年路","Fung Nin Road",21.00
"614","1","HLR","580","康樂路","Hong Lok Road",22.00
"614","1","TTR","590","大棠路","Tai Tong Road",23.00
"614","1","YLL","600","元朗","Yuen Long",24.00
"614","2","YLL","600","元朗","Yuen Long",1.00
"614","2","TTR","590","大棠路","Tai Tong Road",2.00
"614","2","HLR","580","康樂路","Hong Lok Road",3.00
"614","2","FNR","570","豐年路","Fung Nin Road",4.00
"614","2","SPW","560","水邊圍","Shui Pin Wai",5.00
"614","2","PIS","400","屏山","Ping Shan",6.00
"614","2","TOF","390","塘坊村","Tong Fong Tsuen",7.00
"614","2","HSK","380","洪水橋","Hung Shui Kiu",8.00
"614","2","CUT","370","鍾屋村","Chung Uk Tsuen",9.00
"614","2","NAW","360","泥圍","Nai Wai",10.00
"614","2","LTE","350","藍地","Lam Tei",11.00
"614","2","SHL","100","兆康","Siu Hong",12.00
"614","2","FUT","340","鳳地","Fung Tei",13.00
"614","2","PRV","330","景峰","Prime View",14.00
"614","2","SAH","320","新墟","San Hui",15.00
"614","2","HFT","310","何福堂","Hoh Fuk Tong",16.00
"614","2","PUT","300","杯渡","Pui To",17.00
"614","2","TOC","280","市中心","Town Centre",18.00
"614","2","ONT","270","安定","On Ting",19.00
"614","2","SIL","265","兆麟","Siu Lun",20.00
"614","2","GOG","260","豐景園","Goodview Garden",21.00
"614","2","TSP","250","屯門泳池","Tuen Mun Swimming Pool",22.00
"614","2","SHE","240","兆禧","Siu Hei",23.00
"614","2","FEP","001","屯門碼頭","Tuen Mun Ferry Pier",24.00
"615","1","FEP","001","屯門碼頭","Tuen Mun Ferry Pier",1.00
"615","1","MEG","010","美樂","Melody Garden",2.00
"615","1","BUT","015","蝴蝶","Butterfly",3.00
"615","1","LRD","020","輕鐵車廠","Light Rail Depot",4.00
"615","1","LUM","030","龍門","Lung Mun",5.00
"615","1","TSS","040","青山村","Tsing Shan Tsuen",6.00
"615","1","TWN","050","青雲","Tsing Wun",7.00
"615","1","MIK","200","鳴琴","Ming Kum",8.00
"615","1","SHP","170","石排","Shek Pai",9.00
"615","1","SAW","160","新圍","San Wai",10.00
"615","1","LEK","150","良景","Leung King",11.00
"615","1","TNK","140","田景","Tin King",12.00
"615","1","KIS","130","建生","Kin Sang",13.00
"615","1","CHC","120","青松","Ching Chung",14.00
"615","1","SHL","100","兆康","Siu Hong",15.00
"615","1","LTE","350","藍地","Lam Tei",16.00
"615","1","NAW","360","泥圍","Nai Wai",17.00
